epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,648.559,1.00639,0.83086,1.02201,0.91597,0.85879,0.93724,0.65222,1.05029,0.82302,1.03224,0.0008714,0.0008714,0.0008714
59,656.171,1.0163,0.79689,1.01664,0.91879,0.84726,0.93062,0.66032,1.00499,0.80963,1.0072,0.0008516,0.0008516,0.0008516
60,666.267,1.02118,0.79906,1.01229,0.92254,0.8415,0.92973,0.69055,0.93946,0.80369,0.98372,0.0008318,0.0008318,0.0008318
61,678.015,0.98253,0.81247,0.98834,0.92254,0.8415,0.92973,0.69055,0.93946,0.80369,0.98372,0.000812,0.000812,0.000812
62,686.485,0.95274,0.79338,1.03132,0.8825,0.88761,0.9356,0.69443,0.92145,0.78497,0.97984,0.0007922,0.0007922,0.0007922
63,694.87,0.99117,0.79228,1.00509,0.88843,0.89337,0.9408,0.69256,0.91762,0.76994,0.97801,0.0007724,0.0007724,0.0007724
64,704.839,0.97386,0.81575,1.02646,0.89665,0.88184,0.94095,0.69355,0.91855,0.75325,0.9774,0.0007526,0.0007526,0.0007526
65,715.158,0.89527,0.75141,0.97702,0.89665,0.88184,0.94095,0.69355,0.91855,0.75325,0.9774,0.0007328,0.0007328,0.0007328
66,722.255,1.02223,0.77662,1.01599,0.90692,0.87608,0.94506,0.70028,0.93151,0.73995,0.98382,0.000713,0.000713,0.000713
67,730.007,1.00183,0.77627,1.02109,0.91917,0.88484,0.94819,0.71634,0.88881,0.72628,0.97208,0.0006932,0.0006932,0.0006932
68,736.768,0.92082,0.75626,1.01296,0.91355,0.88316,0.94709,0.72502,0.85569,0.7192,0.95678,0.0006734,0.0006734,0.0006734
69,742.774,0.87745,0.73719,0.97508,0.91355,0.88316,0.94709,0.72502,0.85569,0.7192,0.95678,0.0006536,0.0006536,0.0006536
70,749.072,0.93867,0.74744,0.99378,0.91658,0.88473,0.94581,0.72084,0.85246,0.72685,0.95259,0.0006338,0.0006338,0.0006338
71,761.239,0.99168,0.767,0.9924,0.92535,0.89337,0.94901,0.72707,0.84951,0.71998,0.94763,0.000614,0.000614,0.000614
72,771.121,0.88735,0.72374,0.9634,0.93916,0.88974,0.9565,0.72793,0.85853,0.70227,0.95247,0.0005942,0.0005942,0.0005942
73,779.249,0.87915,0.71565,0.97831,0.93916,0.88974,0.9565,0.72793,0.85853,0.70227,0.95247,0.0005744,0.0005744,0.0005744
74,797.381,0.88561,0.70653,0.95843,0.94521,0.89482,0.96025,0.73382,0.85033,0.68503,0.94991,0.0005546,0.0005546,0.0005546
75,807.62,0.96132,0.78204,1.02193,0.95046,0.88472,0.95881,0.73753,0.83532,0.67496,0.94225,0.0005348,0.0005348,0.0005348
76,814.792,0.89226,0.7084,0.95775,0.93334,0.88769,0.95569,0.74148,0.81989,0.66189,0.93638,0.000515,0.000515,0.000515
77,823.856,0.85202,0.68879,0.95013,0.93334,0.88769,0.95569,0.74148,0.81989,0.66189,0.93638,0.0004952,0.0004952,0.0004952
78,838.595,0.8435,0.69668,0.95731,0.92853,0.89862,0.95855,0.75076,0.80593,0.64983,0.93527,0.0004754,0.0004754,0.0004754
79,851.259,0.84839,0.68265,0.94025,0.93505,0.90202,0.96045,0.75911,0.80257,0.63765,0.9365,0.0004556,0.0004556,0.0004556
80,865.315,0.86886,0.68661,0.94273,0.93091,0.91354,0.96365,0.75584,0.81892,0.63382,0.94196,0.0004358,0.0004358,0.0004358
81,876.684,0.82738,0.68658,0.95633,0.93091,0.91354,0.96365,0.75584,0.81892,0.63382,0.94196,0.000416,0.000416,0.000416
82,888.018,0.88807,0.70536,0.95823,0.93164,0.91643,0.96336,0.76148,0.80913,0.62418,0.93689,0.0003962,0.0003962,0.0003962
83,899.76,0.88458,0.679,0.9576,0.93046,0.9255,0.96386,0.75834,0.79422,0.62222,0.93153,0.0003764,0.0003764,0.0003764
84,913.07,0.84336,0.70405,0.94897,0.94069,0.91931,0.96479,0.75928,0.78388,0.61678,0.93007,0.0003566,0.0003566,0.0003566
85,926.1,0.79653,0.67822,0.96545,0.94069,0.91931,0.96479,0.75928,0.78388,0.61678,0.93007,0.0003368,0.0003368,0.0003368
86,945.275,0.85165,0.69051,0.94294,0.93837,0.92219,0.96325,0.7612,0.77262,0.61246,0.92598,0.000317,0.000317,0.000317
87,958.91,0.90068,0.70907,0.95559,0.93832,0.92071,0.96475,0.76498,0.76683,0.60644,0.92346,0.0002972,0.0002972,0.0002972
88,968.495,0.86639,0.67063,0.94091,0.95868,0.90778,0.96712,0.77084,0.7638,0.59972,0.92092,0.0002774,0.0002774,0.0002774
89,979.521,0.83043,0.65693,0.94781,0.95868,0.90778,0.96712,0.77084,0.7638,0.59972,0.92092,0.0002576,0.0002576,0.0002576
90,991.416,0.7964,0.62034,0.94332,0.95256,0.91931,0.96974,0.7745,0.75918,0.5938,0.91719,0.0002378,0.0002378,0.0002378
91,1013.27,0.86098,0.82852,0.94677,0.95363,0.91643,0.96586,0.77576,0.75827,0.5946,0.91473,0.000218,0.000218,0.000218
92,1024.22,0.7941,0.81161,0.96951,0.94712,0.91066,0.9654,0.76976,0.76364,0.60007,0.91735,0.0001982,0.0001982,0.0001982
93,1033.01,0.7742,0.75423,0.91789,0.94712,0.91066,0.9654,0.76976,0.76364,0.60007,0.91735,0.0001784,0.0001784,0.0001784
94,1045.33,0.78006,0.71365,0.9201,0.92803,0.92904,0.96294,0.76282,0.77155,0.6133,0.9202,0.0001586,0.0001586,0.0001586
95,1056.21,0.85178,0.78267,0.92443,0.92817,0.931,0.96322,0.76468,0.77259,0.62431,0.92195,0.0001388,0.0001388,0.0001388
96,1070.24,0.80075,0.76867,0.94,0.92863,0.93084,0.96154,0.76395,0.7667,0.63038,0.92072,0.000119,0.000119,0.000119
97,1085.02,0.75344,0.70914,0.92572,0.92863,0.93084,0.96154,0.76395,0.7667,0.63038,0.92072,9.92e-05,9.92e-05,9.92e-05
98,1094.42,0.79282,0.71357,0.92582,0.931,0.93322,0.96278,0.77229,0.75551,0.62826,0.91811,7.94e-05,7.94e-05,7.94e-05
99,1113.93,0.73342,0.63969,0.90032,0.92569,0.93372,0.96544,0.77548,0.74625,0.62652,0.91541,5.96e-05,5.96e-05,5.96e-05
100,1129.12,0.81227,0.71971,0.93559,0.92587,0.9366,0.96811,0.77934,0.73982,0.62373,0.9131,3.98e-05,3.98e-05,3.98e-05
