epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
63,442.855,0.30402,0.37815,0.09339,0.92397,0.9106,0.95401,0.76806,0.25665,0.37657,0.08253,0.0007724,0.0007724,0.0007724
64,449.574,0.31396,0.37186,0.09143,0.92397,0.9106,0.95401,0.76806,0.25665,0.37657,0.08253,0.0007526,0.0007526,0.0007526
65,456.256,0.27235,0.37801,0.09129,0.92722,0.91788,0.9649,0.77951,0.24334,0.37854,0.07946,0.0007328,0.0007328,0.0007328
66,463.271,0.33741,0.38223,0.10419,0.92722,0.91788,0.9649,0.77951,0.24334,0.37854,0.07946,0.000713,0.000713,0.000713
67,470.308,0.3555,0.39994,0.0968,0.93091,0.93194,0.96777,0.78452,0.23605,0.37682,0.07668,0.0006932,0.0006932,0.0006932
68,477.451,0.31428,0.37679,0.09813,0.92065,0.95677,0.96894,0.79137,0.23175,0.36223,0.07338,0.0006734,0.0006734,0.0006734
69,484.219,0.3173,0.36218,0.10321,0.92065,0.95677,0.96894,0.79137,0.23175,0.36223,0.07338,0.0006536,0.0006536,0.0006536
70,491.349,0.31427,0.37594,0.08754,0.92697,0.95101,0.96531,0.79156,0.22926,0.36524,0.07304,0.0006338,0.0006338,0.0006338
71,498.188,0.30741,0.38753,0.08649,0.94588,0.9366,0.9667,0.78898,0.23685,0.36554,0.07538,0.000614,0.000614,0.000614
72,505.082,0.32397,0.36375,0.09749,0.94588,0.9366,0.9667,0.78898,0.23685,0.36554,0.07538,0.0005942,0.0005942,0.0005942
73,512.048,0.29611,0.36072,0.08897,0.94033,0.95365,0.96899,0.79581,0.22752,0.34643,0.07221,0.0005744,0.0005744,0.0005744
74,518.904,0.30607,0.36862,0.08555,0.94033,0.95365,0.96899,0.79581,0.22752,0.34643,0.07221,0.0005546,0.0005546,0.0005546
75,525.939,0.31322,0.36274,0.0984,0.95635,0.96542,0.97614,0.81069,0.21841,0.33878,0.06721,0.0005348,0.0005348,0.0005348
76,532.918,0.29921,0.34502,0.09005,0.95973,0.96162,0.97663,0.81549,0.21267,0.33297,0.06583,0.000515,0.000515,0.000515
77,540.133,0.26753,0.34136,0.0801,0.95973,0.96162,0.97663,0.81549,0.21267,0.33297,0.06583,0.0004952,0.0004952,0.0004952
78,547.289,0.31178,0.36428,0.08642,0.9495,0.95389,0.97678,0.81846,0.20918,0.33524,0.06524,0.0004754,0.0004754,0.0004754
79,554.145,0.28006,0.34103,0.08205,0.96101,0.9366,0.97624,0.8202,0.20819,0.33162,0.06676,0.0004556,0.0004556,0.0004556
80,561.247,0.27254,0.33278,0.08036,0.96101,0.9366,0.97624,0.8202,0.20819,0.33162,0.06676,0.0004358,0.0004358,0.0004358
81,568.344,0.28326,0.34685,0.07533,0.96168,0.94009,0.97436,0.82258,0.20607,0.32741,0.06664,0.000416,0.000416,0.000416
82,575.308,0.26361,0.33497,0.07603,0.96168,0.94009,0.97436,0.82258,0.20607,0.32741,0.06664,0.0003962,0.0003962,0.0003962
83,582.145,0.24665,0.31093,0.07357,0.94865,0.94524,0.97523,0.82309,0.20502,0.32995,0.06573,0.0003764,0.0003764,0.0003764
84,589.23,0.25006,0.33295,0.07827,0.95909,0.94589,0.97727,0.82698,0.20203,0.31926,0.06551,0.0003566,0.0003566,0.0003566
85,596.208,0.27492,0.34407,0.07533,0.95909,0.94589,0.97727,0.82698,0.20203,0.31926,0.06551,0.0003368,0.0003368,0.0003368
86,603.068,0.26882,0.34843,0.07915,0.9614,0.9366,0.97833,0.82941,0.20472,0.31327,0.06782,0.000317,0.000317,0.000317
87,610.379,0.27502,0.32587,0.07803,0.95967,0.93948,0.97926,0.83731,0.20023,0.30922,0.06586,0.0002972,0.0002972,0.0002972
88,617.357,0.27748,0.33203,0.07343,0.95967,0.93948,0.97926,0.83731,0.20023,0.30922,0.06586,0.0002774,0.0002774,0.0002774
89,624.05,0.27604,0.33317,0.07821,0.95328,0.94078,0.98077,0.84074,0.19863,0.30726,0.06432,0.0002576,0.0002576,0.0002576
90,630.794,0.26326,0.34324,0.0709,0.95328,0.94078,0.98077,0.84074,0.19863,0.30726,0.06432,0.0002378,0.0002378,0.0002378
91,637.811,0.2304,0.3326,0.07135,0.95398,0.94236,0.98104,0.83662,0.202,0.30464,0.06596,0.000218,0.000218,0.000218
92,644.681,0.2121,0.31741,0.07198,0.95884,0.93989,0.98034,0.83277,0.20298,0.31166,0.06549,0.0001982,0.0001982,0.0001982
93,651.429,0.21015,0.3091,0.06511,0.95884,0.93989,0.98034,0.83277,0.20298,0.31166,0.06549,0.0001784,0.0001784,0.0001784
94,658.426,0.22091,0.31253,0.07527,0.95815,0.93948,0.97964,0.83479,0.20805,0.30337,0.06653,0.0001586,0.0001586,0.0001586
95,665.206,0.19375,0.30164,0.06352,0.96184,0.93948,0.98016,0.83268,0.21036,0.2992,0.06699,0.0001388,0.0001388,0.0001388
96,671.538,0.20333,0.31389,0.07696,0.96184,0.93948,0.98016,0.83268,0.21036,0.2992,0.06699,0.000119,0.000119,0.000119
97,678.537,0.21191,0.30242,0.06244,0.96726,0.93646,0.98005,0.83206,0.20785,0.30824,0.06446,9.92e-05,9.92e-05,9.92e-05
98,685.325,0.18412,0.28272,0.05636,0.96726,0.93646,0.98005,0.83206,0.20785,0.30824,0.06446,7.94e-05,7.94e-05,7.94e-05
99,692.042,0.17131,0.28342,0.05614,0.96017,0.93948,0.97979,0.83043,0.2069,0.3069,0.06396,5.96e-05,5.96e-05,5.96e-05
100,698.806,0.1885,0.29438,0.05653,0.96345,0.93948,0.97803,0.82896,0.20549,0.30853,0.06404,3.98e-05,3.98e-05,3.98e-05
